Shape Class,Filename,Number of Vertices,Number of Faces,Face Types,Bounding Box Min,Bounding Box Max
DeskPhone,D00316.obj,48093,94497,Only triangles,[-0.62864202 -0.59352499 -0.286264  ],[0.81187397 0.70157099 0.244973  ]
DeskPhone,D00318.obj,4313,8494,Only triangles,[-0.71404099 -0.66062099 -0.52060002],[0.81084198 0.61413699 0.27083901]
DeskPhone,D00403.obj,27361,54523,Only triangles,[-1.14833999 -0.46650001 -0.30047199],[0.542027   0.57962298 0.82300502]
DeskPhone,D00486.obj,1699,3314,Only triangles,[-0.754318   -0.63718599 -0.37844101],[0.96844798 0.49429899 0.29152301]
DeskPhone,D00511.obj,31349,60638,Only triangles,[-0.89756399 -0.34966201 -0.120496  ],[0.722718   0.26014799 0.26418701]
DeskPhone,D00556.obj,586,1108,Only triangles,[-0.85143399 -0.49731901 -0.43083301],[0.83712697 0.91808802 0.255611  ]
DeskPhone,D00576.obj,13619,26647,Only triangles,[-0.75534499 -0.47359699 -0.179611  ],[0.81992102 0.47104701 0.19713201]
DeskPhone,D00680.obj,820,1508,Only triangles,[-0.77803999 -0.498658   -0.22214299],[0.777776   0.84887302 0.19151101]
DeskPhone,D00706.obj,44937,51962,Only triangles,[-0.77902102 -0.57370102 -0.273202  ],[0.76280898 0.756733   0.21164501]
DeskPhone,D00773.obj,23711,42664,Only triangles,[-0.70649898 -0.56766701 -0.17342   ],[0.86527801 0.52983499 0.195062  ]
DeskPhone,D00829.obj,3870,7692,Only triangles,[-0.90569001 -0.91035199 -0.43857199],[0.92436099 0.79598403 0.122189  ]
DeskPhone,D00894.obj,880,1678,Only triangles,[-1.01212001 -0.59409302 -0.54246199],[0.56806201 0.69604701 0.28765699]
DeskPhone,D00897.obj,27510,53857,Only triangles,[-1.01916003 -0.58981401 -0.242044  ],[0.87080401 0.35375801 0.165194  ]
DeskPhone,D00899.obj,39872,79652,Only triangles,[-0.71453798 -0.712053   -0.250503  ],[0.779728   0.70039898 0.25513199]
DeskPhone,D00957.obj,14677,28992,Only triangles,[-0.62785298 -0.61487502 -0.23102   ],[0.89955699 0.62895298 0.217243  ]
DeskPhone,D00958.obj,11731,16509,Only triangles,[-0.87846702 -0.70748502 -0.37928   ],[0.84069097 0.82483101 0.26497599]
Door,D01005.obj,6044,11464,Only triangles,[0.025 0.025 0.025],[0.43395999 0.97500002 0.0854325 ]
Door,D01029.obj,456,894,Only triangles,[0.025 0.025 0.025],[0.54525298 0.97500002 0.28194499]
Door,D01052.obj,676,1314,Only triangles,[0.025 0.025 0.025],[0.188867   0.97500002 0.50366497]
Door,D01058.obj,858,1617,Only triangles,[0.025 0.025 0.025],[0.52169502 0.97500002 0.115777  ]
Door,D01062.obj,128,252,Only triangles,[0.025 0.025 0.025],[0.85743499 0.97500002 0.104125  ]
Door,D01076.obj,1724,3468,Only triangles,[0.025 0.025 0.025],[0.47673199 0.97500002 0.089167  ]
Door,D01104.obj,871,1772,Only triangles,[0.025 0.025 0.025],[0.485632   0.97500002 0.0670163 ]
Door,D01114.obj,1336,2620,Only triangles,[0.025 0.025 0.025],[0.60922402 0.97500002 0.214508  ]
Door,D01121.obj,16,16,Only triangles,[0.025 0.025 0.025],[0.56785703 0.97500002 0.0521429 ]
Door,D01129.obj,2695,4338,Only triangles,[0.025 0.025 0.025],[0.47684601 0.97500002 0.120993  ]
Door,D01136.obj,716,1328,Only triangles,[0.025 0.025 0.025],[0.54701298 0.97500002 0.119732  ]
Door,D01139.obj,31,29,Only triangles,[0.025 0.025 0.025],[0.5        0.97500002 0.0566667 ]
Door,D01141.obj,2447,4410,Only triangles,[0.025 0.025 0.025],[0.48635    0.97500002 0.135169  ]
Door,D01143.obj,48,72,Only triangles,[0.025 0.025 0.025],[0.55562299 0.97500002 0.0776375 ]
Door,D01144.obj,68,132,Only triangles,[0.025 0.025 0.025],[0.32038    0.97500002 0.104125  ]
Door,D01155.obj,128,183,Only triangles,[0.025 0.025 0.025],[0.95096499 0.97500002 0.15807   ]
Door,D01158.obj,716,1446,Only triangles,[0.025 0.025 0.025],[0.566616   0.97500002 0.125402  ]
Door,D01167.obj,124,252,Only triangles,[0.025 0.025 0.025],[0.61576003 0.97500002 0.104125  ]
Door,D01177.obj,88,98,Only triangles,[0.025 0.025 0.025],[0.47583699 0.97500002 0.09054   ]
Door,D01194.obj,18,18,Only triangles,[0.025 0.025 0.025],[0.0373238  0.97500002 0.52804703]
Door,m1707.obj,456,894,Only triangles,[0.025 0.025 0.025],[0.54525298 0.97500002 0.28194499]
Door,m1708.obj,16,16,Only triangles,[0.025 0.025 0.025],[0.56785703 0.97500002 0.052143  ]
Door,m1710.obj,522,988,Only triangles,[0.025 0.025 0.025],[0.54442298 0.97500002 0.119998  ]
Door,m1711.obj,68,132,Only triangles,[0.025 0.025 0.025],[0.32038    0.97500002 0.104125  ]
Door,m1712.obj,1724,3468,Only triangles,[0.025 0.025 0.025],[0.47673199 0.97500002 0.089167  ]
Door,m1713.obj,6044,11464,Only triangles,[0.025 0.025 0.025],[0.43395999 0.97500002 0.085432  ]
Door,m1714.obj,871,1772,Only triangles,[0.025 0.025 0.025],[0.485632   0.97500002 0.067016  ]
Door,m1715.obj,676,1314,Only triangles,[0.025 0.025 0.025],[0.188867   0.97500002 0.50366497]
Door,m1716.obj,2447,4410,Only triangles,[0.025 0.025 0.025],[0.48635    0.97500002 0.135169  ]
Door,m1717.obj,858,1617,Only triangles,[0.025 0.025 0.025],[0.52169502 0.97500002 0.115777  ]
Door,m1718.obj,2695,4338,Only triangles,[0.025 0.025 0.025],[0.47684601 0.97500002 0.120993  ]
Door,m1720.obj,716,1328,Only triangles,[0.025 0.025 0.025],[0.54701298 0.97500002 0.119732  ]
Door,m1721.obj,716,1446,Only triangles,[0.025 0.025 0.025],[0.566616   0.97500002 0.125402  ]
Door,m1722.obj,1336,2620,Only triangles,[0.025 0.025 0.025],[0.60922402 0.97500002 0.214508  ]
Door,m1723.obj,128,252,Only triangles,[0.025 0.025 0.025],[0.85743499 0.97500002 0.104125  ]
Door,m1724.obj,124,252,Only triangles,[0.025 0.025 0.025],[0.61576003 0.97500002 0.104125  ]
Door,m1725.obj,3232,6406,Only triangles,[0.025 0.025 0.025],[0.97500002 0.95372301 0.210779  ]
Door,m1726.obj,128,183,Only triangles,[0.025 0.025 0.025],[0.95096499 0.97500002 0.15807   ]
Door,m1727.obj,3724,7332,Only triangles,[0.025 0.025 0.025],[0.75607902 0.97500002 0.121945  ]
Door,m1728.obj,2018,3790,Only triangles,[0.025 0.025 0.025],[0.97500002 0.97298902 0.11953   ]
Door,m1729.obj,336,564,Only triangles,[0.025 0.025 0.025],[0.69133699 0.97500002 0.190569  ]
Door,m1730.obj,336,564,Only triangles,[0.025 0.025 0.025],[0.69133699 0.97500002 0.190569  ]
Door,m1731.obj,1974,4084,Only triangles,[0.025 0.025 0.025],[0.97500002 0.935516   0.136363  ]
Door,m1732.obj,300,575,Only triangles,[0.025 0.025 0.025],[0.97500002 0.874286   0.105008  ]
Drum,D00026.obj,5506,32619,Only triangles,[-0.162762 -0.171664 -0.001215],[0.16443101 0.150061   0.70499998]
Drum,D00063.obj,1800,7752,Only triangles,[0.82225698 0.454092   0.51276302],[1.57792997 1.20976996 1.08903003]
Drum,D00115.obj,36,204,Only triangles,[ 0.538248   -0.41518599 -0.27133799],[1.75136209 0.68598902 0.427939  ]
Drum,D00163.obj,8433,37275,Only triangles,[ 0.97323  -0.017525  0.      ],[1.73658001 0.74892801 0.658813  ]
Drum,D00189.obj,651,3894,Only triangles,[1.81519997 0.87002999 0.44499999],[2.21519995 1.27003002 1.15499997]
Drum,D00193.obj,1800,11628,Only triangles,[ 0.251542    0.27234799 -0.017463  ],[1.00721896 1.02802503 1.08902502]
Drum,D00297.obj,5561,33351,Only triangles,[ 1.09722996e+00  4.39181000e-01 -2.22920993e-04],[1.68204999 0.96789402 0.67361599]
Drum,D00298.obj,1609,9414,Only triangles,[-0.41134101  0.70020199  0.        ],[0.32115501 1.43157101 1.25094998]
Drum,D00308.obj,168,1128,Only triangles,[0.45761201 0.326359   0.        ],[1.49901199 1.36775899 0.76835001]
Drum,D00375.obj,4790,30513,Only triangles,[-0.015297   -0.43946901 -0.008625  ],[0.50101602 0.461281   0.60717601]
Drum,D00383.obj,360,1362,Only triangles,[3.71033001 0.358383   1.96850002],[4.37072992 1.01877999 2.43840003]
Drum,D00404.obj,1296,8244,Only triangles,[13.7589941  11.72842407 -0.06985   ],[15.76296234 13.73239231  2.41300011]
Drum,D00551.obj,240,1572,Only triangles,[2.50801992 1.01190197 0.        ],[3.16496706 2.46405792 1.45215607]
Drum,D00557.obj,444,2754,Only triangles,[-0.030871  0.106069 -0.0254  ],[0.508717   0.79906702 0.66039997]
Drum,D00596.obj,169,1329,Only triangles,[-2.29035711 -2.29035711 -3.48401904],[2.29035711 2.29035711 3.03776789]
Drum,D00709.obj,102,132,Only triangles,[1.73892999 1.34996998 0.304391  ],[1.99153996 1.60258007 0.38059101]
Drum,D00939.obj,5390,33603,Only triangles,[-0.148802 -0.144365  0.      ],[0.137049   0.148128   0.26276201]
Drum,D00951.obj,7993,50202,Only triangles,[1.66583109 0.82839    0.392571  ],[2.18442392 1.32316899 0.94061702]
Drum,D00980.obj,5653,33699,Only triangles,[0. 0. 0.],[0.58340001 0.58340001 0.95779997]
Drum,D00982.obj,1835,11316,Only triangles,[-0.15966301 -0.080963   -0.020004  ],[0.002263 0.080963 0.020325]
Fish,D00012.obj,4240,6966,Only triangles,[-1.05517995 -0.39136899 -0.33387801],[0.71338201 0.39320499 0.301967  ]
Fish,D00022.obj,3912,6524,Only triangles,[-1.13572001 -0.372513   -0.25346801],[0.686773   0.44088599 0.24128599]
Fish,D00024.obj,3952,6672,Only triangles,[-1.10237002 -0.254958   -0.27225   ],[0.67914498 0.31252599 0.25220299]
Fish,D00030.obj,3760,6304,Only triangles,[-0.692617   -0.30794099 -0.194262  ],[1.06052995 0.33698699 0.19757301]
Fish,D00142.obj,3048,5286,Only triangles,[-0.58741897 -0.527408   -0.336707  ],[1.10758996 0.443986   0.301658  ]
Fish,D00165.obj,4264,7130,Only triangles,[-0.72156602 -0.28967601 -0.30052799],[1.05587006 0.33396301 0.31541899]
Fish,D00251.obj,4006,6628,Only triangles,[-1.12676001 -0.62101799 -0.40586001],[0.56197    0.48453799 0.37603399]
Fish,D00293.obj,4072,6838,Only triangles,[-1.10406005 -0.48435399 -0.32549599],[0.68657601 0.454548   0.302995  ]
Fish,D00351.obj,3206,5549,Only triangles,[-1.11800003 -0.41741499 -0.31124201],[0.60742402 0.470559   0.312823  ]
Fish,D00398.obj,3820,6412,Only triangles,[-0.65973598 -0.35278401 -0.25601801],[1.04382002 0.41545501 0.22610401]
Fish,D00450.obj,3784,6348,Only triangles,[-1.08449996 -0.37553501 -0.33307901],[0.65686798 0.34729999 0.322133  ]
Fish,D00535.obj,3934,6652,Only triangles,[-1.10596001 -0.42885101 -0.313088  ],[0.66829503 0.49223101 0.30638   ]
Fish,D00633.obj,3712,6334,Only triangles,[-0.76735801 -0.369286   -0.33536899],[1.02978003 0.34637201 0.28665999]
Fish,D00636.obj,3374,5704,Only triangles,[-1.07007003 -0.39666799 -0.32763699],[0.622697   0.33933201 0.327741  ]
Fish,D00643.obj,3928,6526,Only triangles,[-0.670672 -0.416426 -0.38279 ],[0.98397201 0.36211699 0.35837701]
Fish,D00682.obj,3980,6672,Only triangles,[-0.82539898 -0.373849   -0.38828599],[1.08561003 0.291511   0.37029099]
Fish,D00748.obj,5046,8098,Only triangles,[-1.05001998 -0.40180999 -0.263805  ],[0.736929   0.30308801 0.25342599]
Fish,D00763.obj,4122,6824,Only triangles,[-0.667665   -0.43872601 -0.410754  ],[1.15982997 0.643516   0.39600599]
Fish,D00850.obj,4382,7318,Only triangles,[-0.65374202 -0.39837101 -0.37984499],[1.10412002 0.35358199 0.360212  ]
Fish,D00950.obj,3427,5798,Only triangles,[-1.00479996 -0.32045501 -0.54937297],[0.65399802 0.364705   0.55312997]
FloorLamp,D00028.obj,871,1376,Only triangles,[-0.51206601 -0.27407899 -0.35805401],[0.85744298 0.454505   0.37059999]
FloorLamp,D00093.obj,3756,7472,Only triangles,[-0.570333   -0.57373297 -0.54500598],[0.52342701 0.52101302 1.03716004]
FloorLamp,D00186.obj,7694,15316,Only triangles,[-0.625938   -0.50787503 -0.52038503],[0.98002201 0.54220098 0.52977997]
FloorLamp,D00211.obj,5097,9970,Only triangles,[-0.84011298 -0.57723302 -0.24227899],[0.80218101 0.31054801 0.33031601]
FloorLamp,D00228.obj,1322,2632,Only triangles,[-0.654154   -0.54453099 -0.55688798],[0.895962   0.56799501 0.55567002]
FloorLamp,D00388.obj,3767,7212,Only triangles,[-0.49521601 -0.64965397 -0.67365199],[0.97926801 0.66428697 0.64050698]
FloorLamp,D00400.obj,14213,18962,Only triangles,[-0.757635   -0.46573901 -0.46668601],[0.82149601 0.48691499 0.48589799]
FloorLamp,D00408.obj,4018,6750,Only triangles,[-0.61600798 -0.63287598 -0.64169598],[0.92521602 0.66224003 0.637348  ]
FloorLamp,D00447.obj,4911,8434,Only triangles,[-0.96339798 -0.67122698 -0.66270602],[0.62223899 0.66552299 0.67466599]
FloorLamp,D00495.obj,4282,8487,Only triangles,[-0.87269002 -0.51569498 -0.31108201],[0.40088499 0.357133   0.36099499]
FloorLamp,D00563.obj,11136,26964,Only triangles,[-0.911632   -0.50947601 -0.51118797],[0.58560199 0.51286    0.51096898]
FloorLamp,D00580.obj,39647,46682,Only triangles,[-1.14268994 -0.444224   -0.578098  ],[0.82859701 0.75244701 0.620116  ]
FloorLamp,D00740.obj,1128,2240,Only triangles,[-0.762766   -0.52498102 -0.51886201],[0.82533598 0.50610697 0.51324201]
FloorLamp,D00856.obj,3339,6672,Only triangles,[-0.798935   -0.56826502 -0.489934  ],[0.77380902 0.44832999 0.53311598]
FloorLamp,D00875.obj,15152,30052,Only triangles,[-0.94753897 -0.42432001 -0.43193799],[0.73091    0.43359101 0.42588201]
FloorLamp,D00876.obj,14464,28920,Only triangles,[-0.868267   -0.59708798 -0.65649003],[0.60823703 0.72019798 0.67629498]
FloorLamp,D00888.obj,1819,3632,Only triangles,[-0.91812003 -0.36978099 -0.50353301],[0.82639998 0.61189997 0.487681  ]
FloorLamp,D00924.obj,17626,34872,Only triangles,[-0.81716102 -0.42595601 -0.449487  ],[0.86037397 0.46484801 0.43969399]
FloorLamp,D00955.obj,8300,16560,Only triangles,[-0.75037599 -0.50828898 -0.498685  ],[0.84403801 0.459079   0.47460601]
FloorLamp,D00981.obj,454,816,Only triangles,[-0.46224001 -0.56174999 -0.44881901],[1.01730001 0.36074299 0.47492   ]
FloorLamp,m617.obj,4440,8828,Only triangles,[0.025 0.025 0.025],[0.38187599 0.97500002 0.417182  ]
FloorLamp,m618.obj,1622,3232,Only triangles,[0.025 0.025 0.025],[0.134223   0.97500002 0.134222  ]
FloorLamp,m619.obj,361,696,Only triangles,[0.025 0.025 0.025],[0.174245   0.97500002 0.174245  ]
FloorLamp,m620.obj,5584,11058,Only triangles,[0.025 0.025 0.025],[0.124357   0.97500002 0.116258  ]
FloorLamp,m621.obj,778,1528,Only triangles,[0.025 0.025 0.025],[0.14452299 0.97500002 0.14452299]
FloorLamp,m622.obj,54,88,Only triangles,[0.025 0.025 0.025],[0.099219   0.97500002 0.20127   ]
FloorLamp,m623.obj,78,120,Only triangles,[0.025 0.025 0.025],[0.284805   0.97500002 0.249998  ]
FloorLamp,m624.obj,46,76,Only triangles,[0.025 0.025 0.025],[0.17115401 0.97500002 0.36853901]
Glasses,D00050.obj,6852,11300,Only triangles,[-0.731417   -0.349702   -0.15619899],[0.57018501 0.93131202 0.169875  ]
Glasses,D00201.obj,6519,12656,Only triangles,[-0.487773   -0.49874699 -0.21304099],[0.639588   0.55523598 0.214302  ]
Glasses,D00225.obj,1524,3000,Only triangles,[-0.54109699 -0.53361201 -0.17480201],[0.68059802 0.62349999 0.13212401]
Glasses,D00432.obj,408,700,Only triangles,[-0.82041901 -1.05911994 -0.18124799],[0.74422097 0.46237099 0.089982  ]
Glasses,D00475.obj,1566,3092,Only triangles,[-0.80163002 -0.58723801 -0.108938  ],[0.31051499 0.39309701 0.25845599]
Glasses,D00507.obj,6852,11300,Only triangles,[-0.72408003 -0.34137899 -0.15894499],[0.57490498 0.932688   0.166407  ]
Glasses,D00560.obj,4230,8368,Only triangles,[-0.61256403 -0.450059   -0.19761799],[0.62851697 0.64273298 0.102281  ]
Glasses,D00575.obj,17472,32776,Only triangles,[-0.72199702 -0.39414901 -0.102883  ],[0.44423699 0.891509   0.122972  ]
Glasses,D00630.obj,3019,5960,Only triangles,[-0.66284001 -0.78273797 -0.245093  ],[0.427605   0.28237599 0.142124  ]
Glasses,D00640.obj,13986,25604,Only triangles,[-0.87707603 -0.454786   -0.083929  ],[0.419126   0.85050303 0.13244399]
Glasses,D00656.obj,220,868,Only triangles,[-0.69242698 -0.563963   -0.17177001],[0.71929002 0.838516   0.18825801]
Glasses,D00660.obj,10770,18568,Only triangles,[-0.68658602 -0.48616901 -0.117187  ],[0.69791001 0.90264797 0.109791  ]
Glasses,D00717.obj,1836,3624,Only triangles,[-0.72122502 -0.35859799 -0.23344301],[0.52322799 0.84766799 0.19149201]
Glasses,D00730.obj,3334,6336,Only triangles,[-0.483262   -0.86890101 -0.12772401],[0.64880401 0.38013601 0.09945   ]
Glasses,D00813.obj,696,1364,Only triangles,[-0.59293097 -0.442166   -0.22031499],[0.65073299 0.64060599 0.23731001]
Glasses,D00816.obj,15752,30220,Only triangles,[-0.739573   -0.95091802 -0.123246  ],[0.54366702 0.332378   0.088174  ]
Glasses,D00877.obj,2864,5414,Only triangles,[-0.79937601 -0.656955   -0.26272601],[0.60766703 0.660164   0.14246   ]
Glasses,D00883.obj,2804,5504,Only triangles,[-0.85337299 -0.29359001 -0.056078  ],[0.50322402 1.06823003 0.15336099]
Glasses,D00937.obj,312,280,Only triangles,[-0.52587801 -0.38907301 -0.151849  ],[0.77880901 0.89290601 0.109602  ]
Glasses,D00994.obj,2199,4312,Only triangles,[-0.73775101 -0.99648899 -0.122722  ],[0.31226701 0.25396201 0.137724  ]
Guitar,D00023.obj,3655,7019,Only triangles,[-0.79623199 -0.26249701 -0.054427  ],[0.751486   0.27478999 0.109924  ]
Guitar,D00041.obj,28373,50370,Only triangles,[-0.95451599 -0.18076999 -0.040154  ],[0.46449301 0.20031799 0.02737   ]
Guitar,D00076.obj,8889,17465,Only triangles,[-0.75027698 -0.26777801 -0.03372   ],[0.80501002 0.303992   0.055867  ]
Guitar,D00097.obj,270,448,Only triangles,[-0.73679399 -0.21092001 -0.120674  ],[0.80816603 0.246712   0.02709   ]
Guitar,D00124.obj,2013,2871,Only triangles,[-0.66239399 -0.21819299 -0.046556  ],[0.83436298 0.25694901 0.052156  ]
Guitar,D00222.obj,1068,1998,Only triangles,[-0.80209899 -0.32566199 -0.122863  ],[1.00169003 0.298917   0.090693  ]
Guitar,D00232.obj,7781,12087,Only triangles,[-0.66975701 -0.33697999 -0.054688  ],[0.86056602 0.302068   0.112353  ]
Guitar,D00335.obj,32795,64993,Only triangles,[-0.74228603 -0.285896   -0.062144  ],[0.775042   0.24672399 0.129719  ]
Guitar,D00374.obj,1491,2575,Only triangles,[-1.04141998 -0.226905   -0.08488   ],[0.46454301 0.207119   0.083787  ]
Guitar,D00414.obj,947,1397,Only triangles,[-0.86159098 -0.18721101 -0.15130299],[0.77710903 0.32645601 0.097247  ]
Guitar,D00416.obj,4694,9011,Only triangles,[-0.87228298 -0.28883499 -0.093521  ],[0.58753097 0.2832     0.055506  ]
Guitar,D00461.obj,8636,16932,Only triangles,[-0.78724802 -0.239581   -0.047724  ],[0.87910002 0.270428   0.064037  ]
Guitar,D00464.obj,3016,5657,Only triangles,[-0.84441799 -0.240079   -0.14032599],[0.69859302 0.41162401 0.111249  ]
Guitar,D00494.obj,32748,47406,Only triangles,[-0.826765 -0.175486 -0.069655],[0.64035398 0.204035   0.063467  ]
Guitar,D00534.obj,1864,3600,Only triangles,[-0.72636199 -0.23972499 -0.08063   ],[0.72069103 0.227699   0.07686   ]
Guitar,D00549.obj,10340,20236,Only triangles,[-0.66316903 -0.27897599 -0.021161  ],[0.856067 0.145906 0.060895]
Guitar,D00645.obj,1033,1932,Only triangles,[-1.04426003 -0.21390299 -0.072762  ],[0.43145901 0.315375   0.061381  ]
Guitar,D00655.obj,8251,11008,Only triangles,[-0.77486497 -0.305031   -0.015852  ],[0.79188299 0.30974701 0.029027  ]
Guitar,D00844.obj,9253,13769,Only triangles,[-0.878815 -0.313658 -0.132861],[0.72574902 0.30587    0.214252  ]
Guitar,D00849.obj,29495,58093,Only triangles,[-0.67427802 -0.286515   -0.057612  ],[0.86037803 0.21946201 0.123724  ]
Gun,D00103.obj,1931,1654,Only triangles,[-0.795672   -0.45360601 -0.096347  ],[0.77660298 0.43445599 0.151426  ]
Gun,D00137.obj,5308,10332,Only triangles,[-1.04743004 -0.36217901 -0.112803  ],[0.79637098 0.405965   0.104621  ]
Gun,D00140.obj,4462,8734,Only triangles,[-1.01717997 -0.32942599 -0.126773  ],[0.83468401 0.33998001 0.108157  ]
Gun,D00153.obj,364,704,Only triangles,[-0.77447098 -0.435366   -0.109726  ],[0.976852   0.41292101 0.103612  ]
Gun,D00161.obj,302,572,Only triangles,[-0.79135001 -0.45291299 -0.153678  ],[1.02623999 0.54607898 0.101841  ]
Gun,D00204.obj,5558,10640,Only triangles,[-0.78153598 -0.60846603 -0.128401  ],[1.00940001 0.45156899 0.146249  ]
Gun,D00207.obj,16366,31917,Only triangles,[-0.482214 -0.442009 -0.150585],[1.01289999 0.359644   0.103934  ]
Gun,D00209.obj,6826,6484,Only triangles,[-1.01112998 -0.57812601 -0.168384  ],[0.681548 0.35909  0.179591]
Gun,D00239.obj,2121,4229,Only triangles,[-0.64555901 -0.26086599 -0.05666   ],[1.01275003 0.221899   0.065709  ]
Gun,D00244.obj,299,558,Only triangles,[-0.75568098 -0.42654499 -0.166549  ],[1.05437005 0.62470198 0.122758  ]
Gun,D00282.obj,3835,7618,Only triangles,[-1.08173001 -0.268859   -0.131851  ],[0.778063   0.45644599 0.167787  ]
Gun,D00368.obj,4651,9270,Only triangles,[-0.89646798 -0.54870403 -0.142997  ],[1.00275004 0.48088399 0.157207  ]
Gun,D00425.obj,10850,21237,Only triangles,[-0.81685799 -0.40554199 -0.07611   ],[0.94891101 0.48605201 0.106463  ]
Gun,D00477.obj,2147,3772,Only triangles,[-0.88916999 -0.142298   -0.069242  ],[0.967026   0.25725001 0.040597  ]
Gun,D00606.obj,3338,6668,Only triangles,[-0.74583298 -0.401651   -0.222344  ],[1.13767004 0.70325702 0.121953  ]
Gun,D00802.obj,300,564,Only triangles,[-0.54102898 -0.31423801 -0.088182  ],[1.01339996 0.29463699 0.064344  ]
Gun,D00819.obj,17257,34169,Only triangles,[-0.75494403 -0.58459502 -0.132595  ],[0.99692601 0.30618501 0.13542999]
Gun,D00826.obj,11855,23596,Only triangles,[-0.84255898 -0.29761201 -0.119141  ],[0.97625703 0.279814   0.120482  ]
Gun,D00929.obj,1026,1394,Only triangles,[-0.82214397 -0.55177897 -0.112555  ],[1.02365005 0.602898   0.070117  ]
Gun,D00972.obj,28870,56646,Only triangles,[-1.23352003 -0.40559301 -0.156665  ],[0.63347399 0.57214701 0.180521  ]
Gun,m648.obj,1238,2428,Only triangles,[0.025 0.025 0.025],[0.97500002 0.61356199 0.128121  ]
Gun,m649.obj,1094,1945,Only triangles,[0.025 0.025 0.025],[0.97500002 0.68524998 0.138763  ]
Gun,m650.obj,1460,2464,Only triangles,[0.025 0.025 0.025],[0.97500002 0.66007501 0.15823799]
Gun,m651.obj,91,130,Only triangles,[0.025 0.025 0.025],[0.26867101 0.639117   0.97500002]
Gun,m652.obj,4950,10198,Only triangles,[0.025 0.025 0.025],[0.19443101 0.70426702 0.97500002]
Gun,m653.obj,2162,4300,Only triangles,[0.025 0.025 0.025],[0.97500002 0.46690601 0.16723   ]
Gun,m654.obj,1064,2088,Only triangles,[0.025 0.025 0.025],[0.97500002 0.55567598 0.114499  ]
Gun,m655.obj,364,704,Only triangles,[0.025 0.025 0.025],[0.148819   0.575499   0.97500002]
Gun,m656.obj,15763,31098,Only triangles,[0.025 0.025 0.025],[0.16769999 0.57395703 0.97500002]
Gun,m657.obj,18283,36520,Only triangles,[0.025 0.025 0.025],[0.23062199 0.74680001 0.97500002]
Gun,m658.obj,293,560,Only triangles,[0.025 0.025 0.025],[0.189951   0.61709303 0.97500002]
Gun,m659.obj,1181,2291,Only triangles,[0.025 0.025 0.025],[0.97500002 0.49796101 0.16530401]
Gun,m660.obj,1085,3260,Only triangles,[0.025 0.025 0.025],[0.15705    0.52683902 0.97500002]
Gun,m661.obj,370,668,Only triangles,[0.025 0.025 0.025],[0.97500002 0.151189   0.54785001]
Gun,m662.obj,460,828,Only triangles,[0.025 0.025 0.025],[0.97500002 0.156909   0.96036899]
Gun,m663.obj,502,922,Only triangles,[0.025 0.025 0.025],[0.97500002 0.13951001 0.55854398]
Gun,m664.obj,4651,9270,Only triangles,[0.025 0.025 0.025],[0.97500002 0.72118801 0.199559  ]
Gun,m665.obj,1847,3500,Only triangles,[0.025 0.025 0.025],[0.18494201 0.68591303 0.97500002]
Gun,m666.obj,13440,26860,Only triangles,[0.025 0.025 0.025],[0.97500002 0.69406998 0.26797301]
Gun,m667.obj,767,1500,Only triangles,[0.025 0.025 0.025],[0.115473   0.42156801 0.97500002]
Gun,m668.obj,1414,2538,Only triangles,[0.025 0.025 0.025],[0.095224   0.30753899 0.97500002]
Gun,m669.obj,1070,1832,Only triangles,[0.025 0.025 0.025],[0.10005    0.164887   0.97500002]
Gun,m670.obj,3285,6538,Only triangles,[0.025 0.025 0.025],[0.97500002 0.336501   0.071794  ]
Gun,m671.obj,1190,2302,Only triangles,[0.025 0.025 0.025],[0.075425   0.23780499 0.97500002]
Gun,m672.obj,140,252,Only triangles,[0.025 0.025 0.025],[0.068667   0.238619   0.97500002]
Gun,m674.obj,7722,15199,Only triangles,[0.025 0.025 0.025],[0.071835   0.25425899 0.97500002]
Gun,m675.obj,438,640,Only triangles,[0.025 0.025 0.025],[0.97500002 0.27490601 0.114237  ]
Gun,m676.obj,485,910,Only triangles,[0.025 0.025 0.025],[0.194667   0.26986599 0.97500002]
Gun,m677.obj,3330,6623,Only triangles,[0.025 0.025 0.025],[0.97500002 0.147214   0.060332  ]
Gun,m678.obj,1305,2216,Only triangles,[0.025 0.025 0.025],[0.066242   0.212036   0.97500002]
Gun,m679.obj,2003,3774,Only triangles,[0.025 0.025 0.025],[0.078136   0.243081   0.97500002]
Gun,m680.obj,2823,5500,Only triangles,[0.025 0.025 0.025],[0.060861   0.117672   0.97500002]
Gun,m681.obj,630,1160,Only triangles,[0.025 0.025 0.025],[0.97500002 0.08651    0.28478801]
Gun,m682.obj,550,926,Only triangles,[0.025 0.025 0.025],[0.97500002 0.090654   0.29970399]
Gun,m683.obj,502,932,Only triangles,[0.025 0.025 0.025],[0.190799   0.093371   0.97500002]
Gun,m684.obj,27919,55732,Only triangles,[0.025 0.025 0.025],[0.97500002 0.52089202 0.33053201]
Gun,m685.obj,280,550,Only triangles,[0.025 0.025 0.025],[0.187948   0.33725899 0.97500002]
Gun,m686.obj,879,1721,Only triangles,[0.025 0.025 0.025],[0.97500002 0.10846    0.25657499]
Hand,D01006.obj,7929,15855,Only triangles,[0.025 0.025 0.025],[0.57612902 0.97500002 0.67505997]
Hand,D01020.obj,8524,17044,Only triangles,[-0.392205   -0.71618801 -0.32159299],[0.324763   0.97817099 0.425116  ]
